No,Position Level,Position Title,State,Age,Years of Exp.,Industry,Qualification,Salary (Rp)
1147,CEO  /  GM  /  Director  /  Senior Manager,Finance & Accounting,Jawa Barat,48,25,Manufacturing,Bachelor's Degree,15000000
1148,CEO  /  GM  /  Director  /  Senior Manager,Finance & Accounting,Jawa Barat,47,23,Transport / Storage / Freight / Shipping,Bachelor's Degree,25000000
1149,CEO  /  GM  /  Director  /  Senior Manager,Finance & Accounting,Banten,47,23,Wholesale / Retail / Trading,Master's Degree / Post Graduate Degree,17000000
1150,CEO  /  GM  /  Director  /  Senior Manager,Finance & Accounting,Jawa Barat,47,23,Services,Bachelor's Degree,9000000
1151,Manager  /  Assistant Manager,Mechanical Engineer,Jakarta Raya,37,15,Manufacturing,Bachelor's Degree,10000000
1152,Manager  /  Assistant Manager,Mechanical Engineer,Jawa Barat,37,12,Manufacturing,Bachelor's Degree,8000000
1153,Manager  /  Assistant Manager,Mechanical Engineer,Jawa Barat,37,12,Services,Bachelor's Degree,7000000
1154,Manager  /  Assistant Manager,Mechanical Engineer,Jawa Barat,33,9,Construction,Bachelor's Degree,11000000
1155,Manager  /  Assistant Manager,Mechanical Engineer,Jawa Timur,32,7,Wholesale / Retail / Trading,Bachelor's Degree,9000000
1156,Manager  /  Assistant Manager,Mechanical Engineer,Jawa Barat,31,6,Manufacturing,Bachelor's Degree,9000000
1157,Supervisor  /  Coordinator,Mechanical Engineer,Jawa Barat,52,25,Automotive / Heavy Industry,Bachelor's Degree,9000000
1158,Supervisor  /  Coordinator,Mechanical Engineer,Jawa Barat,47,19,Construction,Bachelor's Degree,10000000
1159,Supervisor  /  Coordinator,Mechanical Engineer,Kalimantan Timur,42,13,Energy / Electricity / Water / Natural Resources,Bachelor's Degree,5000000
1160,Supervisor  /  Coordinator,Mechanical Engineer,Jakarta Raya,40,13,Construction,Bachelor's Degree,8000000
1161,Supervisor  /  Coordinator,Mechanical Engineer,Jawa Barat,39,15,Manufacturing,Bachelor's Degree,7000000
1162,Supervisor  /  Coordinator,Mechanical Engineer,Jakarta Raya,38,14,Energy / Electricity / Water / Natural Resources,Bachelor's Degree,10500000
1163,Supervisor  /  Coordinator,Mechanical Engineer,Jawa Barat,37,10,Agriculture / Plantations / Aquaculture,Bachelor's Degree,10000000
1164,Supervisor  /  Coordinator,Mechanical Engineer,Jakarta Raya,37,11,Manufacturing,Bachelor's Degree,8000000
1165,Supervisor  /  Coordinator,Mechanical Engineer,Jawa Barat,37,14,Construction,Bachelor's Degree,7500000
1166,Supervisor  /  Coordinator,Mechanical Engineer,Jawa Barat,36,7,Energy / Electricity / Water / Natural Resources,Bachelor's Degree,10660000
1167,Supervisor  /  Coordinator,Mechanical Engineer,Kalimantan Timur,36,15,0,Associate Degree,6000000
1168,Supervisor  /  Coordinator,Mechanical Engineer,Banten,35,12,Energy / Electricity / Water / Natural Resources,Associate Degree,9000000
1169,Supervisor  /  Coordinator,Mechanical Engineer,Jawa Timur,35,14,Energy / Electricity / Water / Natural Resources,Associate Degree,8000000
1170,Supervisor  /  Coordinator,Mechanical Engineer,Jawa Timur,35,12,Manufacturing,Bachelor's Degree,8000000
1171,Supervisor  /  Coordinator,Mechanical Engineer,Sumatera Selatan,35,11,Energy / Electricity / Water / Natural Resources,Bachelor's Degree,5000000
1172,Supervisor  /  Coordinator,Mechanical Engineer,Jakarta Raya,34,11,Manufacturing,Bachelor's Degree,11600000
1173,Supervisor  /  Coordinator,Mechanical Engineer,Jawa Barat,34,15,Construction,Master's Degree / Post Graduate Degree,9100000
1174,Supervisor  /  Coordinator,Mechanical Engineer,Jawa Barat,34,12,Manufacturing,Associate Degree,8800000
1175,Supervisor  /  Coordinator,Mechanical Engineer,Jawa Barat,34,9,Energy / Electricity / Water / Natural Resources,Bachelor's Degree,8000000
1176,CEO  /  GM  /  Director  /  Senior Manager,Project Manager,Kalimantan Timur,56,15,Construction,Bachelor's Degree,22000000
1177,CEO  /  GM  /  Director  /  Senior Manager,Project Manager,Jakarta Raya,54,31,Others,Master's Degree / Post Graduate Degree,24300000
1178,CEO  /  GM  /  Director  /  Senior Manager,Project Manager,Jakarta Raya,54,29,Construction,Bachelor's Degree,15000000
1179,CEO  /  GM  /  Director  /  Senior Manager,Project Manager,Jawa Barat,53,27,Construction,Master's Degree / Post Graduate Degree,30000000
1180,CEO  /  GM  /  Director  /  Senior Manager,Project Manager,Jakarta Raya,53,27,Finance / Securities / Insurance / Real Estate,Master's Degree / Post Graduate Degree,17000000
1181,CEO  /  GM  /  Director  /  Senior Manager,Project Manager,Banten,52,28,Manufacturing,Associate Degree,20000000
1182,CEO  /  GM  /  Director  /  Senior Manager,Project Manager,Jawa Timur,52,26,Construction,Bachelor's Degree,20000000
1183,CEO  /  GM  /  Director  /  Senior Manager,Project Manager,Jawa Barat,52,34,Energy / Electricity / Water / Natural Resources,Bachelor's Degree,17000000
1184,CEO  /  GM  /  Director  /  Senior Manager,Project Manager,Jakarta Raya,51,30,Construction,Bachelor's Degree,30000000
1185,CEO  /  GM  /  Director  /  Senior Manager,Project Manager,Jakarta Raya,51,25,Finance / Securities / Insurance / Real Estate,Bachelor's Degree,20000000
1186,CEO  /  GM  /  Director  /  Senior Manager,Project Manager,Banten,50,22,Construction,Master's Degree / Post Graduate Degree,30000000
1187,CEO  /  GM  /  Director  /  Senior Manager,Project Manager,Jakarta Raya,50,23,Services,Associate Degree,30000000
1188,CEO  /  GM  /  Director  /  Senior Manager,Project Manager,Jawa Barat,50,27,Services,Associate Degree,19000000
1189,CEO  /  GM  /  Director  /  Senior Manager,Project Manager,Jawa Barat,50,29,Others,Bachelor's Degree,18000000
1190,CEO  /  GM  /  Director  /  Senior Manager,Project Manager,Jawa Barat,50,26,IT / Telecommunication,Bachelor's Degree,15000000
1191,CEO  /  GM  /  Director  /  Senior Manager,Project Manager,Banten,49,23,Construction,Bachelor's Degree,30000000
1192,CEO  /  GM  /  Director  /  Senior Manager,Project Manager,Jakarta Raya,49,25,Construction,Master's Degree / Post Graduate Degree,30000000
1193,CEO  /  GM  /  Director  /  Senior Manager,Project Manager,Banten,49,23,Construction,Bachelor's Degree,25000000
1194,CEO  /  GM  /  Director  /  Senior Manager,Project Manager,Jawa Timur,49,24,Energy / Electricity / Water / Natural Resources,Bachelor's Degree,25000000
1195,CEO  /  GM  /  Director  /  Senior Manager,Project Manager,Riau,49,28,Energy / Electricity / Water / Natural Resources,Bachelor's Degree,25000000
1196,CEO  /  GM  /  Director  /  Senior Manager,Project Manager,Jawa Timur,49,19,Manufacturing,Bachelor's Degree,15000000
1197,CEO  /  GM  /  Director  /  Senior Manager,Project Manager,Jawa Barat,49,24,Finance / Securities / Insurance / Real Estate,Bachelor's Degree,15000000
1198,CEO  /  GM  /  Director  /  Senior Manager,Project Manager,Jakarta Raya,48,27,Services,Master's Degree / Post Graduate Degree,23000000
1199,CEO  /  GM  /  Director  /  Senior Manager,Project Manager,Jakarta Raya,48,24,Services,Associate Degree,12000000
1200,CEO  /  GM  /  Director  /  Senior Manager,Project Manager,Banten,47,21,Construction,Master's Degree / Post Graduate Degree,23000000
1201,Manager  /  Assistant Manager,Graphic Designer,Jakarta Raya,38,11,Services,Associate Degree,5500000
1202,Supervisor  /  Coordinator,Graphic Designer,Jakarta Raya,49,26,IT / Telecommunication,Bachelor's Degree,3500000
1203,Supervisor  /  Coordinator,Graphic Designer,Jakarta Raya,42,15,Manufacturing,Associate Degree,6000000
1204,Supervisor  /  Coordinator,Graphic Designer,Jawa Barat,41,16,Services,Bachelor's Degree,3500000
1205,Supervisor  /  Coordinator,Graphic Designer,Banten,40,17,Manufacturing,Associate Degree,6000000
1206,Supervisor  /  Coordinator,Graphic Designer,Jakarta Raya,40,14,Services,Bachelor's Degree,5000000
1207,Supervisor  /  Coordinator,Graphic Designer,Jawa Timur,38,12,Services,Associate Degree,6200000
1208,Supervisor  /  Coordinator,Graphic Designer,Jakarta Raya,38,8,Others,Bachelor's Degree,5800000
1209,Supervisor  /  Coordinator,Graphic Designer,Jawa Timur,38,13,Manufacturing,Bachelor's Degree,4000000
1210,Supervisor  /  Coordinator,Graphic Designer,Jawa Barat,38,15,Services,Bachelor's Degree,4000000
1211,Supervisor  /  Coordinator,Graphic Designer,Jakarta Raya,36,11,Wholesale / Retail / Trading,Bachelor's Degree,6000000
1212,Supervisor  /  Coordinator,Graphic Designer,Jawa Timur,36,16,Manufacturing,Associate Degree,5100000
1213,Supervisor  /  Coordinator,Graphic Designer,Jawa Timur,36,14,Services,Associate Degree,4500000
1214,Supervisor  /  Coordinator,Graphic Designer,Jawa Timur,35,16,Finance / Securities / Insurance / Real Estate,Associate Degree,6000000
1215,Supervisor  /  Coordinator,Graphic Designer,Jakarta Raya,35,7,Services,Bachelor's Degree,5200000
1216,Supervisor  /  Coordinator,Graphic Designer,Jakarta Raya,35,11,Others,Associate Degree,4500000
1217,Supervisor  /  Coordinator,Graphic Designer,Jakarta Raya,35,10,Services,Associate Degree,4000000
1218,Supervisor  /  Coordinator,Graphic Designer,Jakarta Raya,35,16,Services,Associate Degree,3700000
1219,Supervisor  /  Coordinator,Graphic Designer,Jakarta Raya,35,13,Services,Associate Degree,3000000
1220,Supervisor  /  Coordinator,Graphic Designer,Jakarta Raya,34,11,Others,Bachelor's Degree,6000000
1221,Supervisor  /  Coordinator,Graphic Designer,Sumatera Utara,34,12,Services,Bachelor's Degree,4500000
1222,Supervisor  /  Coordinator,Graphic Designer,Jakarta Raya,34,13,Services,Bachelor's Degree,4000000
1223,Supervisor  /  Coordinator,Graphic Designer,Jakarta Raya,34,7,Wholesale / Retail / Trading,Bachelor's Degree,3500000
1224,Supervisor  /  Coordinator,Graphic Designer,Riau,34,12,Services,Bachelor's Degree,3300000
1225,Supervisor  /  Coordinator,Graphic Designer,Jakarta Raya,33,11,Services,Bachelor's Degree,6000000
1226,CEO  /  GM  /  Director  /  Senior Manager,Sales Manager,Jakarta Raya,55,33,Manufacturing,Master's Degree / Post Graduate Degree,15000000
1227,CEO  /  GM  /  Director  /  Senior Manager,Sales Manager,Banten,55,34,Manufacturing,Associate Degree,10000000
1228,CEO  /  GM  /  Director  /  Senior Manager,Sales Manager,Jawa Barat,54,29,Wholesale / Retail / Trading,Associate Degree,15000000
1229,CEO  /  GM  /  Director  /  Senior Manager,Sales Manager,Jakarta Raya,53,29,IT / Telecommunication,Bachelor's Degree,18000000
1230,CEO  /  GM  /  Director  /  Senior Manager,Sales Manager,Jakarta Raya,50,23,Manufacturing,Master's Degree / Post Graduate Degree,26000000
1231,CEO  /  GM  /  Director  /  Senior Manager,Sales Manager,Jawa Tengah,50,24,Wholesale / Retail / Trading,Master's Degree / Post Graduate Degree,21000000
1232,CEO  /  GM  /  Director  /  Senior Manager,Sales Manager,Jakarta Raya,50,22,Manufacturing,Master's Degree / Post Graduate Degree,10000000
1233,CEO  /  GM  /  Director  /  Senior Manager,Sales Manager,Jawa Barat,49,24,Wholesale / Retail / Trading,Bachelor's Degree,25000000
1234,CEO  /  GM  /  Director  /  Senior Manager,Sales Manager,Jakarta Raya,49,23,IT / Telecommunication,Bachelor's Degree,12500000
1235,CEO  /  GM  /  Director  /  Senior Manager,Sales Manager,Jakarta Raya,48,25,Manufacturing,Bachelor's Degree,26000000
1236,CEO  /  GM  /  Director  /  Senior Manager,Sales Manager,Banten,48,22,Manufacturing,Bachelor's Degree,15000000
1237,CEO  /  GM  /  Director  /  Senior Manager,Sales Manager,Banten,47,21,Manufacturing,Bachelor's Degree,20000000
1238,CEO  /  GM  /  Director  /  Senior Manager,Sales Manager,Jakarta Raya,47,23,Wholesale / Retail / Trading,Bachelor's Degree,17000000
1239,CEO  /  GM  /  Director  /  Senior Manager,Sales Manager,Jakarta Raya,46,28,Wholesale / Retail / Trading,Bachelor's Degree,25950000
1240,CEO  /  GM  /  Director  /  Senior Manager,Sales Manager,Jawa Barat,46,21,Manufacturing,Bachelor's Degree,25000000
1241,CEO  /  GM  /  Director  /  Senior Manager,Sales Manager,Jawa Barat,46,25,Manufacturing,Bachelor's Degree,20000000
1242,CEO  /  GM  /  Director  /  Senior Manager,Sales Manager,Jakarta Raya,46,28,Wholesale / Retail / Trading,Master's Degree / Post Graduate Degree,15980000
1243,CEO  /  GM  /  Director  /  Senior Manager,Sales Manager,Jakarta Raya,46,18,Wholesale / Retail / Trading,Bachelor's Degree,14000000
1244,CEO  /  GM  /  Director  /  Senior Manager,Sales Manager,Banten,46,18,Manufacturing,Master's Degree / Post Graduate Degree,8500000
1245,CEO  /  GM  /  Director  /  Senior Manager,Sales Manager,Jakarta Raya,45,19,Wholesale / Retail / Trading,Bachelor's Degree,25000000
1246,CEO  /  GM  /  Director  /  Senior Manager,Sales Manager,Jawa Barat,45,13,0,Bachelor's Degree,22000000
1247,CEO  /  GM  /  Director  /  Senior Manager,Sales Manager,Jakarta Raya,45,20,Automotive / Heavy Industry,Bachelor's Degree,18000000
1248,CEO  /  GM  /  Director  /  Senior Manager,Sales Manager,Jakarta Raya,45,19,Wholesale / Retail / Trading,Bachelor's Degree,15600000
1249,CEO  /  GM  /  Director  /  Senior Manager,Sales Manager,Banten,45,18,Wholesale / Retail / Trading,Master's Degree / Post Graduate Degree,14500000
1250,CEO  /  GM  /  Director  /  Senior Manager,Sales Manager,Jawa Timur,45,21,Wholesale / Retail / Trading,Bachelor's Degree,11000000
1251,CEO  /  GM  /  Director  /  Senior Manager,Account Executive,Jakarta Raya,32,7,Services,Bachelor's Degree,3000000
1252,Manager  /  Assistant Manager,Account Executive,Jawa Barat,43,16,Wholesale / Retail / Trading,Associate Degree,4500000
1253,Manager  /  Assistant Manager,Account Executive,Jakarta Raya,38,15,IT / Telecommunication,Bachelor's Degree,10000000
1254,Manager  /  Assistant Manager,Account Executive,Jawa Barat,37,13,Wholesale / Retail / Trading,Bachelor's Degree,9000000
1255,Manager  /  Assistant Manager,Account Executive,Jakarta Raya,37,11,Services,Bachelor's Degree,3000000
1256,Manager  /  Assistant Manager,Account Executive,Jakarta Raya,35,10,Finance / Securities / Insurance / Real Estate,Bachelor's Degree,10000000
1257,Manager  /  Assistant Manager,Account Executive,Jakarta Raya,35,10,Services,Bachelor's Degree,10000000
1258,Manager  /  Assistant Manager,Account Executive,Banten,35,12,Manufacturing,Master's Degree / Post Graduate Degree,8500000
1259,Manager  /  Assistant Manager,Account Executive,Jawa Barat,35,16,Manufacturing,Bachelor's Degree,4500000
1260,Manager  /  Assistant Manager,Account Executive,Sumatera Selatan,35,12,Science / Technology,Associate Degree,4500000
1261,Manager  /  Assistant Manager,Account Executive,Jakarta Raya,34,9,Wholesale / Retail / Trading,Bachelor's Degree,10000000
1262,Manager  /  Assistant Manager,Account Executive,Jawa Barat,34,9,Construction,Bachelor's Degree,8500000
1263,Manager  /  Assistant Manager,Account Executive,Jawa Barat,34,11,Manufacturing,Bachelor's Degree,8400000
1264,Manager  /  Assistant Manager,Account Executive,Jawa Barat,33,10,Services,Bachelor's Degree,7000000
1265,Manager  /  Assistant Manager,Account Executive,Jakarta Raya,33,5,Construction,Bachelor's Degree,4500000
1266,Manager  /  Assistant Manager,Account Executive,Jakarta Raya,32,9,Science / Technology,Bachelor's Degree,9550000
1267,Manager  /  Assistant Manager,Account Executive,Banten,31,8,Finance / Securities / Insurance / Real Estate,Bachelor's Degree,7500000
1268,Manager  /  Assistant Manager,Account Executive,Jawa Barat,31,9,Manufacturing,Associate Degree,7000000
1269,Manager  /  Assistant Manager,Account Executive,Kalimantan Timur,31,10,Agriculture / Plantations / Aquaculture,Bachelor's Degree,6000000
1270,Manager  /  Assistant Manager,Account Executive,Jakarta Raya,31,10,Services,Associate Degree,5000000
1271,Manager  /  Assistant Manager,Account Executive,Sumatera Selatan,31,8,Services,Bachelor's Degree,5000000
1272,Manager  /  Assistant Manager,Account Executive,Jakarta Raya,30,8,Services,Bachelor's Degree,9000000
1273,Manager  /  Assistant Manager,Account Executive,Jakarta Raya,29,8,Services,Bachelor's Degree,8500000
1274,Manager  /  Assistant Manager,Account Executive,Jakarta Raya,29,7,Services,Associate Degree,8000000
1275,Manager  /  Assistant Manager,Account Executive,Jakarta Raya,29,9,Manufacturing,Bachelor's Degree,6000000
1276,CEO  /  GM  /  Director  /  Senior Manager,Project Engineer,Jawa Tengah,48,24,Construction,Bachelor's Degree,7500000
1277,CEO  /  GM  /  Director  /  Senior Manager,Project Engineer,Jakarta Raya,47,19,Energy / Electricity / Water / Natural Resources,Master's Degree / Post Graduate Degree,15000000
1278,Manager  /  Assistant Manager,Project Engineer,Jawa Timur,49,23,Energy / Electricity / Water / Natural Resources,Master's Degree / Post Graduate Degree,22000000
1279,Manager  /  Assistant Manager,Project Engineer,Jakarta Raya,46,20,IT / Telecommunication,Bachelor's Degree,9500000
1280,Manager  /  Assistant Manager,Project Engineer,Jakarta Raya,44,14,Manufacturing,Bachelor's Degree,6000000
1281,Manager  /  Assistant Manager,Project Engineer,Jakarta Raya,41,16,IT / Telecommunication,Bachelor's Degree,7500000
1282,Manager  /  Assistant Manager,Project Engineer,Banten,40,13,Manufacturing,Bachelor's Degree,27000000
1283,Manager  /  Assistant Manager,Project Engineer,Jawa Barat,40,15,Energy / Electricity / Water / Natural Resources,Bachelor's Degree,21000000
1284,Manager  /  Assistant Manager,Project Engineer,Banten,39,13,Services,Bachelor's Degree,27000000
1285,Manager  /  Assistant Manager,Project Engineer,Sulawesi Selatan,39,12,Energy / Electricity / Water / Natural Resources,Bachelor's Degree,26000000
1286,Manager  /  Assistant Manager,Project Engineer,Jawa Barat,39,12,Services,Bachelor's Degree,8500000
1287,Manager  /  Assistant Manager,Project Engineer,Jakarta Raya,38,15,Finance / Securities / Insurance / Real Estate,Bachelor's Degree,8000000
1288,Manager  /  Assistant Manager,Project Engineer,Banten,37,15,Construction,Bachelor's Degree,20000000
1289,Manager  /  Assistant Manager,Project Engineer,Jakarta Raya,37,11,Manufacturing,Bachelor's Degree,10000000
1290,Manager  /  Assistant Manager,Project Engineer,Jawa Barat,36,14,Energy / Electricity / Water / Natural Resources,Bachelor's Degree,18000000
1291,Manager  /  Assistant Manager,Project Engineer,Jawa Barat,36,13,Finance / Securities / Insurance / Real Estate,Bachelor's Degree,10000000
1292,Manager  /  Assistant Manager,Project Engineer,Jawa Timur,36,11,Manufacturing,Bachelor's Degree,9000000
1293,Manager  /  Assistant Manager,Project Engineer,Sumatera Utara,36,7,Energy / Electricity / Water / Natural Resources,Bachelor's Degree,7800000
1294,Manager  /  Assistant Manager,Project Engineer,Jakarta Raya,35,15,Manufacturing,Bachelor's Degree,27000000
1295,Manager  /  Assistant Manager,Project Engineer,Jawa Barat,35,14,Construction,Associate Degree,18500000
1296,Manager  /  Assistant Manager,Project Engineer,Jawa Timur,35,14,Science / Technology,Bachelor's Degree,9500000
1297,Manager  /  Assistant Manager,Project Engineer,Riau,35,9,Energy / Electricity / Water / Natural Resources,Bachelor's Degree,9000000
1298,Manager  /  Assistant Manager,Project Engineer,Jawa Barat,34,11,Manufacturing,Bachelor's Degree,14000000
1299,Manager  /  Assistant Manager,Project Engineer,Jakarta Raya,34,14,Energy / Electricity / Water / Natural Resources,Bachelor's Degree,12000000
1300,Manager  /  Assistant Manager,Project Engineer,Jawa Barat,33,10,Energy / Electricity / Water / Natural Resources,Bachelor's Degree,21000000
1301,CEO  /  GM  /  Director  /  Senior Manager,Branch Manager,Jawa Timur,52,26,Transport / Storage / Freight / Shipping,Bachelor's Degree,12000000
1302,CEO  /  GM  /  Director  /  Senior Manager,Branch Manager,Jawa Barat,52,33,Automotive / Heavy Industry,Master's Degree / Post Graduate Degree,9000000
1303,CEO  /  GM  /  Director  /  Senior Manager,Branch Manager,Jakarta Raya,50,24,Services,Master's Degree / Post Graduate Degree,20000000
1304,CEO  /  GM  /  Director  /  Senior Manager,Branch Manager,Jakarta Raya,50,24,Services,Master's Degree / Post Graduate Degree,20000000
1305,CEO  /  GM  /  Director  /  Senior Manager,Branch Manager,Jawa Barat,48,21,Services,Bachelor's Degree,7000000
1306,CEO  /  GM  /  Director  /  Senior Manager,Branch Manager,Jakarta Raya,47,18,Transport / Storage / Freight / Shipping,Bachelor's Degree,9000000
1307,CEO  /  GM  /  Director  /  Senior Manager,Branch Manager,Riau,46,18,Finance / Securities / Insurance / Real Estate,Bachelor's Degree,20000000
1308,CEO  /  GM  /  Director  /  Senior Manager,Branch Manager,Jakarta Raya,46,21,Finance / Securities / Insurance / Real Estate,Master's Degree / Post Graduate Degree,18000000
1309,CEO  /  GM  /  Director  /  Senior Manager,Branch Manager,Jawa Timur,46,24,Transport / Storage / Freight / Shipping,Master's Degree / Post Graduate Degree,7000000
1310,CEO  /  GM  /  Director  /  Senior Manager,Branch Manager,Jawa Tengah,45,22,Manufacturing,Bachelor's Degree,17000000
1311,CEO  /  GM  /  Director  /  Senior Manager,Branch Manager,Jawa Barat,44,18,Transport / Storage / Freight / Shipping,Bachelor's Degree,20000000
1312,CEO  /  GM  /  Director  /  Senior Manager,Branch Manager,Jakarta Raya,44,20,Automotive / Heavy Industry,Bachelor's Degree,20000000
1313,CEO  /  GM  /  Director  /  Senior Manager,Branch Manager,Sumatera Selatan,44,20,Manufacturing,Associate Degree,18000000
1314,CEO  /  GM  /  Director  /  Senior Manager,Branch Manager,Jawa Barat,44,24,Finance / Securities / Insurance / Real Estate,Bachelor's Degree,15000000
1315,CEO  /  GM  /  Director  /  Senior Manager,Branch Manager,Jakarta Raya,44,15,IT / Telecommunication,Bachelor's Degree,10500000
1316,CEO  /  GM  /  Director  /  Senior Manager,Branch Manager,Jakarta Raya,44,18,Finance / Securities / Insurance / Real Estate,Master's Degree / Post Graduate Degree,10000000
1317,CEO  /  GM  /  Director  /  Senior Manager,Branch Manager,Jawa Timur,44,25,Finance / Securities / Insurance / Real Estate,Bachelor's Degree,10000000
1318,CEO  /  GM  /  Director  /  Senior Manager,Branch Manager,Jakarta Raya,44,19,Wholesale / Retail / Trading,Bachelor's Degree,10000000
1319,CEO  /  GM  /  Director  /  Senior Manager,Branch Manager,Jakarta Raya,43,18,Finance / Securities / Insurance / Real Estate,Bachelor's Degree,15000000
1320,CEO  /  GM  /  Director  /  Senior Manager,Branch Manager,Bali,43,15,Finance / Securities / Insurance / Real Estate,Bachelor's Degree,15000000
1321,CEO  /  GM  /  Director  /  Senior Manager,Branch Manager,Jawa Barat,43,25,Others,Bachelor's Degree,13000000
1322,CEO  /  GM  /  Director  /  Senior Manager,Branch Manager,Jakarta Raya,43,21,Finance / Securities / Insurance / Real Estate,Master's Degree / Post Graduate Degree,12500000
1323,CEO  /  GM  /  Director  /  Senior Manager,Branch Manager,Jawa Barat,43,18,Finance / Securities / Insurance / Real Estate,Bachelor's Degree,12000000
1324,CEO  /  GM  /  Director  /  Senior Manager,Branch Manager,Jakarta Raya,42,18,Energy / Electricity / Water / Natural Resources,Bachelor's Degree,20000000
1325,CEO  /  GM  /  Director  /  Senior Manager,Branch Manager,Banten,42,19,Transport / Storage / Freight / Shipping,Bachelor's Degree,19000000
1326,CEO  /  GM  /  Director  /  Senior Manager,Relationship Manager,Banten,35,15,Others,Bachelor's Degree,8000000
1327,Manager  /  Assistant Manager,Relationship Manager,Banten,45,18,Finance / Securities / Insurance / Real Estate,Master's Degree / Post Graduate Degree,10000000
1328,Manager  /  Assistant Manager,Relationship Manager,Jawa Barat,43,19,Wholesale / Retail / Trading,Bachelor's Degree,10000000
1329,Manager  /  Assistant Manager,Relationship Manager,Jakarta Raya,43,19,Others,Bachelor's Degree,8000000
1330,Manager  /  Assistant Manager,Relationship Manager,Jawa Barat,43,14,Manufacturing,Bachelor's Degree,8000000
1331,Manager  /  Assistant Manager,Relationship Manager,Jakarta Raya,41,14,Finance / Securities / Insurance / Real Estate,Master's Degree / Post Graduate Degree,9000000
1332,Manager  /  Assistant Manager,Relationship Manager,Banten,40,18,Finance / Securities / Insurance / Real Estate,Bachelor's Degree,8500000
1333,Manager  /  Assistant Manager,Relationship Manager,Jakarta Raya,39,16,Services,Bachelor's Degree,9300000
1334,Manager  /  Assistant Manager,Relationship Manager,Jakarta Raya,39,12,Finance / Securities / Insurance / Real Estate,Bachelor's Degree,8600000
1335,Manager  /  Assistant Manager,Relationship Manager,Jawa Barat,39,13,Finance / Securities / Insurance / Real Estate,Bachelor's Degree,7800000
1336,Manager  /  Assistant Manager,Relationship Manager,Jakarta Raya,38,15,Finance / Securities / Insurance / Real Estate,Bachelor's Degree,10500000
1337,Manager  /  Assistant Manager,Relationship Manager,Jawa Barat,38,15,Finance / Securities / Insurance / Real Estate,Bachelor's Degree,9500000
1338,Manager  /  Assistant Manager,Relationship Manager,Kalimantan Barat,38,13,Finance / Securities / Insurance / Real Estate,Bachelor's Degree,9000000
1339,Manager  /  Assistant Manager,Relationship Manager,Jawa Barat,38,12,Finance / Securities / Insurance / Real Estate,Bachelor's Degree,6500000
1340,Manager  /  Assistant Manager,Relationship Manager,Jakarta Raya,37,16,Agriculture / Plantations / Aquaculture,Bachelor's Degree,10000000
1341,Manager  /  Assistant Manager,Relationship Manager,Jakarta Raya,37,11,Finance / Securities / Insurance / Real Estate,Bachelor's Degree,9000000
1342,Manager  /  Assistant Manager,Relationship Manager,Jawa Barat,37,12,Services,Bachelor's Degree,8000000
1343,Manager  /  Assistant Manager,Relationship Manager,Jakarta Raya,36,14,Finance / Securities / Insurance / Real Estate,Bachelor's Degree,9400000
1344,Manager  /  Assistant Manager,Relationship Manager,Jawa Tengah,36,13,Finance / Securities / Insurance / Real Estate,Master's Degree / Post Graduate Degree,9300000
1345,Manager  /  Assistant Manager,Relationship Manager,Jawa Barat,36,10,Finance / Securities / Insurance / Real Estate,Bachelor's Degree,8500000
1346,Manager  /  Assistant Manager,Relationship Manager,Jakarta Raya,36,13,Finance / Securities / Insurance / Real Estate,Bachelor's Degree,8500000
1347,Manager  /  Assistant Manager,Relationship Manager,Jawa Barat,36,11,Finance / Securities / Insurance / Real Estate,Bachelor's Degree,8000000
1348,Manager  /  Assistant Manager,Relationship Manager,Jakarta Raya,36,9,Finance / Securities / Insurance / Real Estate,Bachelor's Degree,8000000
1349,Manager  /  Assistant Manager,Relationship Manager,Jakarta Raya,35,9,Finance / Securities / Insurance / Real Estate,Bachelor's Degree,10200000
1350,Manager  /  Assistant Manager,Relationship Manager,Jakarta Raya,35,10,Finance / Securities / Insurance / Real Estate,Bachelor's Degree,10000000
1351,CEO  /  GM  /  Director  /  Senior Manager,Assistant Manager,Yogyakarta,44,19,Services,Bachelor's Degree,11000000
1352,CEO  /  GM  /  Director  /  Senior Manager,Assistant Manager,Bali,44,21,Services,Associate Degree,9000000
1353,Manager  /  Assistant Manager,Assistant Manager,Riau,50,28,IT / Telecommunication,Bachelor's Degree,8500000
1354,Manager  /  Assistant Manager,Assistant Manager,Jakarta Raya,49,23,Finance / Securities / Insurance / Real Estate,Bachelor's Degree,10000000
1355,Manager  /  Assistant Manager,Assistant Manager,Jawa Barat,48,22,Automotive / Heavy Industry,Associate Degree,12000000
1356,Manager  /  Assistant Manager,Assistant Manager,Jakarta Raya,48,25,Manufacturing,Bachelor's Degree,10000000
1357,Manager  /  Assistant Manager,Assistant Manager,Banten,48,20,Manufacturing,Bachelor's Degree,8927000
1358,Manager  /  Assistant Manager,Assistant Manager,Jawa Barat,47,20,Manufacturing,Master's Degree / Post Graduate Degree,10250000
1359,Manager  /  Assistant Manager,Assistant Manager,Gorontalo,47,24,Agriculture / Plantations / Aquaculture,Master's Degree / Post Graduate Degree,10000000
1360,Manager  /  Assistant Manager,Assistant Manager,Jakarta Raya,47,19,Automotive / Heavy Industry,Master's Degree / Post Graduate Degree,10000000
